run_id,phase,participant,session,trial_index,stimulus_id,counterbalance_offset,preferred_description_condition,description_condition,metadata_condition,description,image_file,original_filename,original_style_folder,original_relative_path
real_001_s001_2026-05-18_21-28-44-498,main,001,001,1,033,0,incongruent,incongruent,incongruent,Eine dunkle Figur mit Hut geht auf einem Weg vor weitem Himmel. Der Weg führt schräg in die Tiefe.,033.jpg,misery_0089.jpg,expressionism,expressionism/misery_0089.jpg
real_001_s001_2026-05-18_21-28-44-498,main,001,001,2,027,0,incongruent,incongruent,incongruent,"Zwei Figuren stehen unter Bäumen, eine hält eine rote Form. Der grüne Außenraum füllt den Hintergrund.",027.jpg,candidate_029_expressionism_leon_indenbaum_1915.jpg,expressionism,candidate_images/chosen/candidate_029_expressionism_leon_indenbaum_1915.jpg
real_001_s001_2026-05-18_21-28-44-498,main,001,001,3,016,0,congruent,congruent,congruent,Bunte schneckenartige Formen liegen auf dunklem Grund und rollen sich ineinander. Die großen Farbflächen sind klar voneinander abgegrenzt.,016.jpg,candidate_020_surrealism_vuelo_de_medianoche_1936.jpg,surrealism,candidate_images/chosen/candidate_020_surrealism_vuelo_de_medianoche_1936.jpg
real_001_s001_2026-05-18_21-28-44-498,main,001,001,4,013,0,congruent,congruent,congruent,Eine helle fast leere Fläche wird rechts von einer schmalen dunklen senkrechten Spur geteilt. Kleine Flecken liegen am unteren Rand.,013.jpg,the_station_of_the_cross_-_first_station_0179.jpg,color-field-painting,color-field-painting/the_station_of_the_cross_-_first_station_0179.jpg
real_001_s001_2026-05-18_21-28-44-498,main,001,001,5,076,0,congruent,congruent,congruent,"Zwei helle Figuren stehen auf einem Podest, daneben liegen Pflanzen oder Körperformen. Der helle Hintergrund und die langen Körper trennen die Szene.",076.jpg,illustration_to_milton_s_comus_0060.jpg,symbolism,symbolism/illustration_to_milton_s_comus_0060.jpg
real_001_s001_2026-05-18_21-28-44-498,main,001,001,6,015,0,incongruent,incongruent,incongruent,Eine gelbe Fläche wird von einer dunklen Spur am oberen Rand unterbrochen. Große Farbfelder bestimmen das Bild.,015.jpg,untitled_0170.jpg,color-field-painting,color-field-painting/untitled_0170.jpg
real_001_s001_2026-05-18_21-28-44-498,main,001,001,7,014,0,ambiguous,ambiguous,semi_congruent,Ein helles gelbes Feld wird von einer dunklen Spur am oberen Rand unterbrochen. Die meisten Flächen bleiben groß und ruhig.,014.jpg,untitled_0159.jpg,color-field-painting,color-field-painting/untitled_0159.jpg
real_001_s001_2026-05-18_21-28-44-498,main,001,001,8,035,0,ambiguous,ambiguous,semi_congruent,Ein dunkler Raum mit heller Öffnung zeigt Lichtstreifen auf Boden und Wand. Die Komposition ist ruhig und fast leer.,035.jpg,night_0017.jpg,expressionism,expressionism/night_0017.jpg
real_001_s001_2026-05-18_21-28-44-498,main,001,001,9,052,0,congruent,congruent,congruent,Eine helle rosa Blüte schwebt vor dunklem Grund mit rosa Wolken. Der Blütenkörper sitzt über einer waagerechten roten Linie.,052.jpg,before_the_snow_0016.jpg,surrealism,surrealism/before_the_snow_0016.jpg
real_001_s001_2026-05-18_21-28-44-498,main,001,001,10,019,0,congruent,ambiguous,semi_congruent,Eine sitzende blaue Figur steht frontal vor blauem Hintergrund. Helle ovale Formen und Tischkante bilden ruhige zentrale Bereiche.,019.jpg,ascet_0276.jpg,expressionism,expressionism/ascet_0276.jpg
