run_id,phase,participant,session,language,trial_index,stimulus_id,counterbalance_offset,preferred_description_condition,description_condition,metadata_condition,description,image_file,original_filename,original_style_folder,original_relative_path
real_001_s001_2026-05-18_22-18-09-416,main,001,001,en,1,074,0,ambiguous,ambiguous,semi_congruent,Dark and gray brushstrokes run horizontally across a light surface. The composition looks like an open landscape made of lines.,074.jpg,evacuation_of_an_island_0230.jpg,symbolism,symbolism/evacuation_of_an_island_0230.jpg
real_001_s001_2026-05-18_22-18-09-416,main,001,001,en,2,031,0,congruent,congruent,congruent,A small seated figure with a blue cloak sits before a bed. Light body form and dark cloak lie centrally in the image.,031.jpg,maternit_233_after_picasso_0194.jpg,expressionism,expressionism/maternit_233_after_picasso_0194.jpg
real_001_s001_2026-05-18_22-18-09-416,main,001,001,en,3,044,0,ambiguous,ambiguous,semi_congruent,Three face-like forms stand before a blue background. A light central form is framed by two orange forms.,044.jpg,candidate_030_surrealism_trois_masques_1933.jpg,surrealism,candidate_images/chosen/candidate_030_surrealism_trois_masques_1933.jpg
real_001_s001_2026-05-18_22-18-09-416,main,001,001,en,4,020,0,ambiguous,ambiguous,semi_congruent,"A wide landscape with light and dark bands fills the image. Sky, water, and ground are loosely separated.",020.jpg,canal_du_midi_0128.jpg,expressionism,expressionism/canal_du_midi_0128.jpg
real_001_s001_2026-05-18_22-18-09-416,main,001,001,en,5,006,0,incongruent,incongruent,incongruent,"Three narrow light fields stand on a dark ground. A small red form lies at the lower left, while the right half remains almost empty.",006.jpg,the_heart_0108.jpg,abstract-expressionism,abstract-expressionism/the_heart_0108.jpg
real_001_s001_2026-05-18_22-18-09-416,main,001,001,en,6,022,0,congruent,congruent,congruent,"A seated woman leans sideways against a wall. Her dark top, pink skirt, and chair are clearly separated.",022.jpg,candidate_025_surrealism_colette_sitting.jpg,surrealism,candidate_images/chosen/candidate_025_surrealism_colette_sitting.jpg
real_001_s001_2026-05-18_22-18-09-416,main,001,001,en,7,055,0,congruent,congruent,congruent,"A colorful body-like figure stands on a yellow-brown ground. Blue, red, gray, and black form large clearly separated areas.",055.jpg,dance_0182.jpg,surrealism,surrealism/dance_0182.jpg
real_001_s001_2026-05-18_22-18-09-416,main,001,001,en,8,016,0,congruent,congruent,congruent,Colorful snail-like forms lie on a dark ground and curl into one another. The large color areas are clearly separated.,016.jpg,candidate_020_surrealism_vuelo_de_medianoche_1936.jpg,surrealism,candidate_images/chosen/candidate_020_surrealism_vuelo_de_medianoche_1936.jpg
real_001_s001_2026-05-18_22-18-09-416,main,001,001,en,9,046,0,congruent,incongruent,incongruent,"A black circle lies low and touches a light silhouette. The ground is dark, and the two forms are barely separated.",046.jpg,d1_6_0207.jpg,minimalism,minimalism/d1_6_0207.jpg
real_001_s001_2026-05-18_22-18-09-416,main,001,001,en,10,078,0,incongruent,incongruent,incongruent,"A dark ruin lies flat in the foreground under a light sky. Clouds and small rider are almost absent, and spatial depth is weak.",078.jpg,ruins_in_the_moonlit_landscape_0117.jpg,symbolism,symbolism/ruins_in_the_moonlit_landscape_0117.jpg
