filename,score,row_idx,group,title,artist,url_slug,genres,styles,tags,width,height
candidate_001_symbolism_portrait_of_clara_bruckmann_bocklin.jpg,10.6,55638,symbolism,Portrait of Clara Bruckmann-Böcklin,Arnold Böcklin,portrait-of-clara-bruckmann-bocklin,portrait,Symbolism,female-portraits; Face; Head; Chin; Forehead; Human,471,600
candidate_002_surrealism_the_bouquet_of_roses_on_the_window_1958.jpg,9.9,50894,surrealism,The bouquet of roses on the window,Balthus,the-bouquet-of-roses-on-the-window-1958,landscape,Expressionism,flowers-and-plants; doors-and-windows; Flower; Picture frame,573,600
candidate_003_symbolism_fir_trees_at_sunset.jpg,9.78,55601,symbolism,Fir trees at sunset,Arnold Böcklin,fir-trees-at-sunset,landscape,Romanticism,sunrise-and-sunset; Sky; Tree; Atmospheric phenomenon; Wilderness; Woody plant; Evening; Plant; Cloud; Sunset,499,497
candidate_004_symbolism_forest_dwellers_1910.jpg,9.5,55537,symbolism,Forest dwellers,Arkady Rylov,forest-dwellers-1910,landscape; wildlife painting,Symbolism,Plant; Tree; Leaf; Botany; Flower; Branch,750,586
candidate_005_surrealism_flower_1.jpg,9.2,50485,surrealism,Flower,Abidin Dino,flower-1,flower painting,Abstract Expressionism,Botany; Leaf; Plant; Flower,285,455
candidate_006_surrealism_head.jpg,9.2,50581,surrealism,Head,Alberto Giacometti,head,portrait,Expressionism,Face; Sketch; Head; Figure drawing,410,600
candidate_007_surrealism_large_landscape_with_a_tree_1957.jpg,9.2,50867,surrealism,Large Landscape with a Tree,Balthus,large-landscape-with-a-tree-1957,landscape,Expressionism,countryside; cottages-and-farmhouses; Tree; Leaf; Roof,749,600
candidate_008_symbolism_spring_sun_1924.jpg,9.2,55805,symbolism,Spring Sun,Cuno Amiet,spring-sun-1924,landscape,Post-Impressionism,Tree; Plant; Woody plant,458,600
candidate_009_symbolism_autoportrait_vers_1901.jpg,9.2,55833,symbolism,Autoportrait vers,Eugene Carriere,autoportrait-vers-1901,self-portrait,Symbolism,Face; Chin; Head; Forehead; Facial hair,491,600
candidate_010_symbolism_gulls_1941.jpg,8.8,55456,symbolism,Gulls,Albert Bloch,gulls-1941,landscape,Expressionism,birds; forests-and-trees; Tree,530,600
candidate_011_symbolism_landscape_with_a_river_1913.jpg,8.8,55547,symbolism,Landscape with a river,Arkady Rylov,landscape-with-a-river-1913,landscape,Symbolism,Tree; Canoe birch; Birch; Woody plant; Plant; Birch family,750,577
candidate_012_symbolism_park_on_the_banks_of_the_neva_1916.jpg,8.8,55559,symbolism,Park on the banks of the Neva,Arkady Rylov,park-on-the-banks-of-the-neva-1916,landscape,Symbolism,Tree; Woody plant; Plant,403,600
candidate_013_symbolism_violent_wind_1916.jpg,8.8,55577,symbolism,Violent wind,Arkady Rylov,violent-wind-1916,landscape,Symbolism,Tree; Canoe birch; Woody plant; Birch; Plant; spring,744,600
candidate_014_symbolism_wild_rowan_1922.jpg,8.8,55579,symbolism,Wild Rowan,Arkady Rylov,wild-rowan-1922,landscape,Symbolism,Nature; Natural landscape; Meadow; Flower; Wildflower; Plant,746,600
candidate_015_symbolism_on_the_pontine_swamps_1851.jpg,8.8,55625,symbolism,On the Pontine swamps,Arnold Böcklin,on-the-pontine-swamps-1851,landscape,Romanticism,forests-and-trees; swamps; Tree; Sky; Plant community,750,594
candidate_016_symbolism_bl_hende_b_ume_1922.jpg,8.8,55749,symbolism,Blühende Bäume,Cuno Amiet,bl-hende-b-ume-1922,landscape,Expressionism,Tree; Plant; Woody plant,464,600
candidate_017_symbolism_bl_tenzeit_1926.jpg,8.8,55750,symbolism,Blütenzeit,Cuno Amiet,bl-tenzeit-1926,landscape,Post-Impressionism,Tree; Leaf; Plant; Branch,455,600
candidate_018_symbolism_magnolia_1945.jpg,8.8,55779,symbolism,Magnolia,Cuno Amiet,magnolia-1945,landscape,Post-Impressionism,Tree; Flower; Plant; Botany; Textile; Blossom,483,600
candidate_019_surrealism_hand_1950.jpg,8.5,50486,surrealism,Hand,Abidin Dino,hand-1950,figurative,Expressionism,Sketch; Arm; Hand; Figure drawing,346,500
candidate_020_surrealism_madenci.jpg,8.1,50494,surrealism,Madenci,Abidin Dino,madenci,portrait,Expressionism; Surrealism,Face; Head; Carving; Stone carving,455,600
candidate_021_surrealism_carolina_1965.jpg,8.1,50575,surrealism,Carolina,Alberto Giacometti,carolina-1965,portrait,Expressionism,female-portraits; Sketch; Figure drawing; Line,398,600
candidate_022_surrealism_parque_salamanca_1979.jpg,8.1,50621,surrealism,Parque Salamanca,Alejandro Obregon,parque-salamanca-1979,flower painting,Surrealism,Flower; Plant,333,334
candidate_023_surrealism_pomegranates_in_the_wind.jpg,8.1,50747,surrealism,Pomegranates in the Wind,Andre Masson,pomegranates-in-the-wind,flower painting,Surrealism,Botany; Flower; Plant,500,378
candidate_024_surrealism_big_landscape_with_cow.jpg,8.1,50838,surrealism,Big Landscape with Cow,Balthus,big-landscape-with-cow,landscape,Expressionism,animals; countryside; cottages-and-farmhouses; cows; Tree; Branch,495,600
candidate_025_surrealism_colette_sitting.jpg,8.1,50844,surrealism,Colette sitting,Balthus,colette-sitting,portrait,Expressionism,female-portraits; children portraits; Sitting; Reading,476,600
candidate_026_surrealism_princess_maria_volkonsky_at_the_age_of_twelve_1945.jpg,8.1,50879,surrealism,Princess Maria Volkonsky at the age of twelve,Balthus,princess-maria-volkonsky-at-the-age-of-twelve-1945,portrait,Expressionism,female-portraits; children portraits; Lady,465,600
candidate_027_surrealism_still_life_quince_and_pear_1956.jpg,8.1,50884,surrealism,Still Life (quince and pear),Balthus,still-life-quince-and-pear-1956,still life,Expressionism,fruits-and-vegetables; Still life photography; Plant,750,497
candidate_028_surrealism_still_life_with_lamp_1958.jpg,8.1,50887,surrealism,Still Life,Balthus,still-life-with-lamp-1958,still life,Magic Realism,fruits-and-vegetables; Still life photography; Fruit,750,575
candidate_029_expressionism_leon_indenbaum_1915.jpg,8.023,5934,expressionism,Leon Indenbaum,Amedeo Modigliani,leon-indenbaum-1915,portrait,Expressionism,male-portraits; Face; Head; Chin; Cheek; Forehead,505,600
candidate_030_expressionism_portrait_of_lunia_czechowska_1918.jpg,7.727,6015,expressionism,Portrait of Lunia Czechowska,Amedeo Modigliani,portrait-of-lunia-czechowska-1918,portrait,Expressionism,female-portraits; Face; Chin; Head; Nose; Cheek,481,600
candidate_031_expressionism_portrait_of_a_young_girl_1910.jpg,7.725,5991,expressionism,Portrait of a Young Girl,Amedeo Modigliani,portrait-of-a-young-girl-1910,portrait,Expressionism,female-portraits; Face; Head; Chin; Cheek,468,600
candidate_032_expressionism_head_of_a_woman_with_a_hat_1907.jpg,7.721,5911,expressionism,Head of a Woman with a Hat,Amedeo Modigliani,head-of-a-woman-with-a-hat-1907,portrait,Expressionism,female-portraits; Face; Head; Lady,443,600
candidate_033_expressionism_pierre_reverdy.jpg,7.325,5980,expressionism,Pierre Reverdy,Amedeo Modigliani,pierre-reverdy,portrait,Expressionism,male-portraits; Face; Head; Nose; Chin; Cheek,475,600
candidate_034_expressionism_oscar_miestchaninoff_1917.jpg,7.325,5976,expressionism,Oscar Miestchaninoff,Amedeo Modigliani,oscar-miestchaninoff-1917,portrait,Expressionism,male-portraits; Face; Head; Cheek; Chin,422,600
candidate_035_expressionism_hanka_zborowska_1919.jpg,7.321,5909,expressionism,Hanka Zborowska,Amedeo Modigliani,hanka-zborowska-1919,portrait,Expressionism,female-portraits; Face; Lady; Head; Chin; Nose,409,600
candidate_036_expressionism_germaine_survage_with_earrings_1918.jpg,7.321,5901,expressionism,Germaine Survage with Earrings,Amedeo Modigliani,germaine-survage-with-earrings-1918,portrait,Expressionism,female-portraits; Face; Lady; Head; Cheek; Chin,455,600
candidate_037_expressionism_frans_hellens_1919.jpg,7.321,5900,expressionism,Frans Hellens,Amedeo Modigliani,frans-hellens-1919,portrait,Expressionism,male-portraits; Face; Chin; Cheek; Head; Nose,436,600
candidate_038_expressionism_the_leap_of_the_rabbit_1911.jpg,7.318,5837,expressionism,The leap of the rabbit,Amadeo de Souza-Cardoso,the-leap-of-the-rabbit-1911,animal painting,Expressionism,Plant; Botany; Leaf; Flower,727,600
candidate_039_expressionism_portrait_of_moise_kisling_1915.jpg,7.027,6026,expressionism,Portrait of Moise Kisling,Amedeo Modigliani,portrait-of-moise-kisling-1915,portrait,Expressionism,male-portraits; famous-people; Moise-Kisling; Chin; Cheek; Forehead,466,600
candidate_040_expressionism_portrait_of_frank_burty_haviland_1914.jpg,7.026,6002,expressionism,Portrait of Frank Burty Haviland,Amedeo Modigliani,portrait-of-frank-burty-haviland-1914,portrait,Expressionism,male-portraits; Tree,485,600
candidate_041_expressionism_portrait_of_blaise_cendrars_1917.jpg,7.026,5996,expressionism,Portrait of Blaise Cendrars,Amedeo Modigliani,portrait-of-blaise-cendrars-1917,portrait,Expressionism,famous-people; female-portraits; Beatrice-Hastings; Chin; Head; Cheek,496,600
candidate_042_expressionism_head_of_red_haired_woman_1915.jpg,7.022,5915,expressionism,Head of Red-haired Woman,Amedeo Modigliani,head-of-red-haired-woman-1915,portrait,Expressionism,female-portraits; Head; Lady; Chin; Cheek,480,600
