stimulus_id,image_file,original_filename,original_relative_path,original_style_folder,condition_congruent,condition_semi_congruent,condition_incongruent,condition_congruent_en,condition_semi_congruent_en,condition_incongruent_en,notes,needs_human_review
001,001.jpg,bird_of_the_spirit_0121.jpg,abstract-expressionism/bird_of_the_spirit_0121.jpg,abstract-expressionism,"Eine kleiner, heraufschauender Vogel sitzt in der Mitte einer dunklen ovalen Fläche auf rostbraunem Grund. Um die Mitte liegen feine dunkle Striche und ein breiter Schattenrand.",Eine kleine helle Form sitzt etwas oberhalb der Mitte in einer dunklen runden Fläche auf rostbraunem Grund. Feine dunkle Striche sammeln sich eher links um die Mitte.,"Eine helle Form liegt seitlich in einer blassen ovalen Fläche auf kühlem graublauem Grund. Der dunkle Rand ist schmal, und die Mitte wirkt eher offen als verdichtet.",A small upward-looking bird sits in the center of a dark oval area on a rusty brown ground. Fine dark lines and a broad shadowed rim surround the center.,A small pale form sits slightly above the center inside a dark round area on a rusty brown ground. Fine dark lines gather more to the left around the center.,"A pale form lies off to the side inside a faint oval area on a cool gray-blue ground. The dark rim is narrow, and the center feels more open than dense.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
002,002.jpg,candidate_003_expressionism_carnation_in_a_blue_vase_1993.jpg,candidate_images/chosen/candidate_003_expressionism_carnation_in_a_blue_vase_1993.jpg,expressionism,"Eine pinke Blüte steht in einer blau-grünen Glasvase vor braunem Hintergrund. Die Vase sitzt unten mittig, die Blüte ragt darüber nach links oben.","Eine pinke Blütenform steht in einem bläulichen Glasgefäß vor braunem Grund. Die Vase sitzt unten leicht rechts, während die Blüte eher nach oben als nach links ragt.","Eine orange Blüte steht in einer schmalen grünen Vase vor hellem Grund. Blüte und Vase liegen deutlich rechts, und die Tischfläche ist kaum betont.","A pink blossom stands in a blue-green glass vase against a brown background. The vase sits near the lower center, and the flower rises above it toward the upper left.","A pink flower-like form stands in a bluish glass vessel against a brown ground. The vase sits slightly to the lower right, while the blossom rises more upward than toward the left.","An orange blossom stands in a narrow green vase against a light ground. Flower and vase sit clearly to the right, and the tabletop is barely emphasized.",image_type=expressionism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
003,003.jpg,candidate_005_surrealism_flower_1.jpg,candidate_images/chosen/candidate_005_surrealism_flower_1.jpg,surrealism,Eine einzelne gelbe Blüte sitzt auf einem langen weißen Stiel vor dunkelblauem Hintergrund. Unten gehen helle Blattformen seitlich vom Stiel ab.,Eine einzelne gelbe Blüte sitzt auf einem langen hellen Stiel vor dunklem Blau. Unten wirken die hellen Blattformen klein und eng an den Stiel angelegt.,Zwei gelbe Blüten sitzen auf kurzen dunklen Stielen vor hellem grauem Grund. Kleine Blätter bleiben nah an den kurzen Stielen.,A single yellow blossom sits on a long white stem against a dark blue background. Pale leaf shapes branch away from the lower stem.,"A single yellow blossom sits on a long pale stem against dark blue. At the bottom, the pale leaf shapes look small and tucked close to the stem.",Two yellow blossoms sit on short dark stems against a light gray ground. Small leaves stay close to the short stems.,image_type=surrealism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
004,004.jpg,pandora_0015.jpg,abstract-expressionism/pandora_0015.jpg,abstract-expressionism,"Auf hellem Grund überlagern sich türkisfarbene Flächen, orange Bereiche, ein schwarzer Kreis und ein blaues Rechteck. Die Formen sammeln sich vor allem in der oberen rechten Hälfte.",Türkise und orange Flächen überlagern sich auf hellem Grund. Ein dunkler Kreis und ein blauer kantiger Akzent sitzen etwas näher an der Bildmitte als oben rechts.,"Mehrere rote und gelbe Kreise liegen getrennt am unteren Rand auf dunklem Grund. Ein schwarzes Rechteck dominiert links, während die obere rechte Ecke fast leer bleibt.","On a light ground, turquoise areas, orange regions, a black circle, and a blue rectangle overlap. The forms gather mostly in the upper right half.",Turquoise and orange areas overlap on a light ground. A dark circle and an angular blue accent sit a little closer to the image center than to the upper right.,"Several red and yellow circles sit separately along the lower edge on a dark ground. A black rectangle dominates the left, while the upper right corner is almost empty.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
005,005.jpg,quadratisch_0069.jpg,abstract-expressionism/quadratisch_0069.jpg,abstract-expressionism,"Das Bild besteht fast ganz aus weichen hellen Farbnebeln in Rosa, Violett und Beige. Nur unten rechts liegen wenige kleine weiße kantige Formen.","Ein heller nebliger Farbraum in Rosa, Violett und Beige füllt fast das ganze Bild. Die kleinen weißen kantigen Formen erscheinen eher unten mittig als klar unten rechts.",Kräftige schwarze Linien und große rote Flächen füllen die Mitte auf dunklem Grund. Helle Nebelfarben und kleine weiße Formen spielen kaum eine Rolle.,"The image is made almost entirely of soft pale color haze in pink, violet, and beige. Only a few small white angular forms sit at the lower right.","A pale misty color field in pink, violet, and beige fills almost the whole image. The small white angular forms appear closer to the lower center than clearly at the lower right.",Strong black lines and large red areas fill the center on a dark ground. Pale misty colors and small white forms play hardly any role.,image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
006,006.jpg,the_heart_0108.jpg,abstract-expressionism/the_heart_0108.jpg,abstract-expressionism,"Links steht ein dunkles grünes Rechteck in einer hellgrünen Fläche, rechts ein weißes Rechteck mit rotem Herz und schwarzen Streifen. Beide Formen liegen auf einem hellblauen Grund.","Zwei rechteckige Felder stehen nebeneinander auf hellem Blau. Das dunkle linke Feld wirkt fast schwarz, und der rote Akzent rechts erscheint eher rund als herzförmig.",Ein einzelner roter Kreis liegt mittig auf gelbem Grund.,"On the left, a dark green rectangle stands inside a pale green area; on the right, a white rectangle contains a red heart and black stripes. Both forms lie on a light blue ground.","Two rectangular fields stand side by side on light blue. The dark field on the left appears almost black, and the red accent on the right seems more round than heart-shaped.",A single red circle lies in the middle on a yellow ground.,image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
007,007.jpg,untitled_0173.jpg,abstract-expressionism/untitled_0173.jpg,abstract-expressionism,"Ein glasähnliches Gefäß steht unten, darüber schwebt eine helle ovale Kopfform mit dunklen Linien. Der Hintergrund ist bräunlich und wirkt fleckig.","Ein durchsichtig wirkendes Gefäß sitzt unten, darüber schwebt eine helle runde Kopfform mit dunklen Linien. Die obere Form wirkt etwas tiefer und näher am Gefäß.","Ein dunkles Gefäß steht oben links vor blauem Grund, darunter liegen mehrere rote Kreisformen.","A glass-like vessel stands at the bottom, with a pale oval head-like form floating above it and crossed by dark lines. The background is brownish and mottled.","A transparent-looking vessel sits at the bottom, with a pale round head-like form and dark lines floating above it. The upper form appears slightly lower and closer to the vessel.","A dark vessel stands at the upper left against blue, with several red circular forms below.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
008,008.jpg,what_the_wind_does_0268.jpg,abstract-expressionism/what_the_wind_does_0268.jpg,abstract-expressionism,Auf dunklem grauem Grund liegen zwei helle türkisfarbene Flecken links und rechts einer blassen Mitte. Ein rosiger senkrechter Lichtzug steigt unten zur Mitte auf.,Eine blasse neblige Mitte liegt zwischen türkisfarbenen Flecken auf dunklem Grau. Der rosige Lichtzug steigt eher leicht schräg von unten links zur Mitte auf.,"Ein scharfes schwarzes Dreieck liegt auf gelbem Grund, daneben stehen rote Linien und kleine blaue Punkte.","On a dark gray ground, two pale turquoise patches sit left and right of a light center. A pinkish vertical glow rises from the bottom toward the middle.",A pale misty center lies between turquoise patches on dark gray. The pinkish glow rises slightly diagonally from the lower left toward the center.,"A sharp black triangle lies on a yellow ground, beside red lines and small blue dots.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
009,009.jpg,candidate_017_symbolism_what_are_flowers_saing_1893.jpg,candidate_images/chosen/candidate_017_symbolism_what_are_flowers_saing_1893.jpg,symbolism,"Eine stehende Figur in blauem Kleid und hellem Umhang steht in einer grünen Landschaft. Der Kopf ist gesenkt, und helle kleine Blumen liegen im unteren Bereich.","Eine schlanke Figur mit hellem Umhang steht in einer grünlichen Landschaft. Das Kleid wirkt eher violettblau, und die kleinen hellen Blumen liegen mehr seitlich als direkt unten.",Eine sitzende Figur in rotem Gewand steht vor dunklem Innenraum.,"A standing figure in a blue dress and pale cloak stands in a green landscape. The head is lowered, and small pale flowers lie in the lower area.","A slender figure with a pale cloak stands in a greenish landscape. The dress appears more violet-blue, and the small pale flowers lie more to the side than directly below.",A seated figure in a red garment appears in a dark interior.,image_type=symbolism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
010,010.jpg,e_226_0133.jpg,color-field-painting/e_226_0133.jpg,color-field-painting,Eine große rote ovale Fläche liegt auf leuchtend orangefarbenem Grund. Unten rechts setzt ein schmaler blauer Balken einen kleinen Kontrast.,"Eine große rote runde Fläche liegt auf leuchtend orangefarbenem Grund. Der kleine blaue Balken sitzt tief am Rand, aber eher unten links als unten rechts.",Mehrere kleine blaue Kreise verteilen sich auf weißem Grund.,A large red oval area lies on a bright orange ground. A narrow blue bar near the lower right creates a small contrast.,"A large red round area lies on a bright orange ground. The small blue bar sits low near the edge, but more toward the lower left than the lower right.",Several small blue circles are spread across a white ground.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19,False
